counterstatepcrdaddrrdatacrdatahrdatalwrenwraddrwdatacwdatahwdatal	     	  	      	      	        	        	    	      	      	        	        
counter	state	pc	rdaddr	rdatac	rdatah		rdatal		wren	wraddr	wdatac	wdatah		wdatal
 f3	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f4	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f5	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f6	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f7	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f8	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f9	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 fa	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 fb	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 fc	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 fd	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 fe	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ff	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
